C,18,1,3,4,5,16,17,19,20,23,24,25,26
18,99,8.077,6.947,6.675,6.542,2.75,1.341,3.568,5.447,2.363,1.229,4.843,6.451
1,8.077,99,2.565,1.712,1.559,7.236,7.519,8.596,9.6,8.698,8.488,10.359,12.075
3,6.947,2.565,99,1.22,2.361,7.027,6.813,8.525,7.259,6.921,7.008,10.336,12.126
4,6.675,1.712,1.22,99,1.142,6.302,6.312,7.765,7.891,7.065,6.95,9.573,11.346
5,6.542,1.559,2.361,1.142,99,5.71,5.96,7.104,8.542,7.312,7.014,8.888,10.628
16,2.75,7.236,7.027,6.302,5.71,99,1.41,1.509,7.961,5.035,3.961,3.312,5.105
17,1.341,7.519,6.813,6.312,5.96,1.41,99,2.419,6.635,3.643,2.553,3.964,5.701
19,3.568,8.596,8.525,7.765,7.104,1.509,2.419,99,9.003,5.929,4.779,1.812,3.601
20,5.447,9.6,7.259,7.891,8.542,7.961,6.635,9.003,99,3.135,4.288,10.234,11.715
23,2.363,8.698,6.921,7.065,7.312,5.035,3.643,5.929,3.135,99,1.16,7.1,8.591
24,1.229,8.488,7.008,6.95,7.014,3.961,2.553,4.779,4.288,1.16,99,5.946,7.464
25,4.843,10.359,10.336,9.573,8.888,3.312,3.964,1.812,10.234,7.1,5.946,99,1.794
26,6.451,12.075,12.126,11.346,10.628,5.105,5.701,3.601,11.715,8.591,7.464,1.794,99